data_status,synthetic,n_runs_assumed,simulation_seed,scenario,platform_scenario,treatment,run_id,metric,simulated_value,unit
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,1,peak_pss_mb,243.871,MiB
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,1,allocation_rate_mb_s,39.094,MiB/s
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,1,gc_p99_ms,49.186,ms
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,1,fault_rate_s,79.007,faults/s
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,1,input_p99_ms,93.329,ms
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,1,controller_cpu_pct,0.0,percent
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,2,peak_pss_mb,239.819,MiB
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,2,allocation_rate_mb_s,42.82,MiB/s
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,2,gc_p99_ms,50.329,ms
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,2,fault_rate_s,83.309,faults/s
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,2,input_p99_ms,98.601,ms
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,2,controller_cpu_pct,0.0,percent
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,3,peak_pss_mb,248.068,MiB
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,3,allocation_rate_mb_s,37.47,MiB/s
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,3,gc_p99_ms,49.449,ms
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,3,fault_rate_s,82.518,faults/s
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,3,input_p99_ms,99.153,ms
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,3,controller_cpu_pct,0.0,percent
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,4,peak_pss_mb,238.164,MiB
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,4,allocation_rate_mb_s,40.289,MiB/s
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,4,gc_p99_ms,56.48,ms
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,4,fault_rate_s,85.785,faults/s
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,4,input_p99_ms,109.59,ms
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,4,controller_cpu_pct,0.0,percent
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,5,peak_pss_mb,239.313,MiB
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,5,allocation_rate_mb_s,39.346,MiB/s
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,5,gc_p99_ms,49.634,ms
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,5,fault_rate_s,89.253,faults/s
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,5,input_p99_ms,105.469,ms
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,5,controller_cpu_pct,0.0,percent
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,6,peak_pss_mb,242.372,MiB
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,6,allocation_rate_mb_s,40.428,MiB/s
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,6,gc_p99_ms,52.001,ms
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,6,fault_rate_s,84.891,faults/s
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,6,input_p99_ms,93.666,ms
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,6,controller_cpu_pct,0.0,percent
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,7,peak_pss_mb,241.731,MiB
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,7,allocation_rate_mb_s,39.839,MiB/s
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,7,gc_p99_ms,49.846,ms
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,7,fault_rate_s,68.982,faults/s
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,7,input_p99_ms,87.297,ms
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,7,controller_cpu_pct,0.0,percent
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Stock,8,peak_pss_mb,234.641,MiB
